rxcui,name,synonym,tty,language,suppress,umlscui,psn
1049580,acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution,APAP 65 MG/ML / Oxycodone Hydrochloride 1 MG/ML Oral Solution,SCD,ENG,N,,
1049584,12 HR oxycodone hydrochloride 40 MG Extended Release Oral Tablet,oxycodone hydrochloride 40 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
1049589,ibuprofen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet,,SCD,ENG,N,,
1049593,12 HR oxycodone hydrochloride 60 MG Extended Release Oral Tablet,oxycodone hydrochloride 60 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
1049599,12 HR oxycodone hydrochloride 80 MG Extended Release Oral Tablet,oxycodone hydrochloride 80 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
1049604,oxycodone hydrochloride 1 MG/ML Oral Solution,oxycodone hydrochloride 5 MG per 5 ML Oral Solution,SCD,ENG,N,,
1049611,oxycodone hydrochloride 15 MG Oral Tablet,,SCD,ENG,N,,
1049615,oxycodone hydrochloride 20 MG/ML Oral Solution,oxycodone hydrochloride 20 MG per 1 ML Concentrate for Oral Solution,SCD,ENG,N,,
1049618,oxycodone hydrochloride 30 MG Oral Tablet,,SCD,ENG,N,,
1049621,oxycodone hydrochloride 5 MG Oral Tablet,,SCD,ENG,N,,
1049635,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet,APAP 325 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet,SCD,ENG,N,,
1049651,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet,APAP 500 MG / oxycodone hydrochloride 10 MG Oral Tablet,SCD,ENG,N,,
1049658,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule,APAP 500 MG / oxycodone hydrochloride 5 MG Oral Capsule,SCD,ENG,N,,
1049683,oxycodone hydrochloride 10 MG Oral Tablet,,SCD,ENG,N,,
1049686,oxycodone hydrochloride 20 MG Oral Tablet,,SCD,ENG,N,,
1049696,oxycodone hydrochloride 5 MG Oral Capsule,,SCD,ENG,N,,
1049717,oxycodone hydrochloride 10 MG Oral Capsule,,SCD,ENG,N,,
1049719,oxycodone hydrochloride 10 MG/ML Injectable Solution,,SCD,ENG,N,,
1049720,oxycodone hydrochloride 10 MG/ML Oral Solution,oxycodone hydrochloride 10 MG/ML Concentrate for Oral Solution,SCD,ENG,N,,
1049721,oxycodone hydrochloride 20 MG Oral Capsule,,SCD,ENG,N,,
1049727,oxycodone hydrochloride 5 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1113314,oxycodone hydrochloride 7.5 MG Oral Tablet,,SCD,ENG,N,,
1790527,Abuse-Deterrent 12 HR oxycodone 9 MG Extended Release Oral Capsule,"oxycodone 9 MG 12 HR Extended Release Oral Capsule, Abuse-Deterrent",SCD,ENG,N,,
1791558,Abuse-Deterrent 12 HR oxycodone 13.5 MG Extended Release Oral Capsule,"oxycodone 13.5 MG 12 HR Extended Release Oral Capsule, Abuse-Deterrent",SCD,ENG,N,,
1791567,Abuse-Deterrent 12 HR oxycodone 18 MG Extended Release Oral Capsule,"oxyCODONE 18 MG 12 HR Extended Release Oral Capsule, Abuse-Deterrent",SCD,ENG,N,,
1791574,Abuse-Deterrent 12 HR oxycodone 27 MG Extended Release Oral Capsule,"oxycodone 27 MG 12 HR Extended Release Oral Capsule, Abuse-Deterrent",SCD,ENG,N,,
1791580,Abuse-Deterrent 12 HR oxycodone 36 MG Extended Release Oral Capsule,"oxycodone 36 MG 12 HR Extended Release Oral Capsule, Abuse-Deterrent",SCD,ENG,N,,
1860127,Abuse-Deterrent 12 HR oxycodone hydrochloride 60 MG Extended Release Oral Tablet,"oxycodone HCl 60 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
